pitch,note
0,C-1
2,C-1
4,C⁰-
6,d-1
8,d⁰-
10,E-1
12,F-1
14,F⁰-
16,G-1
18,G⁰-
20,A-1
22,A⁰-
24,b-1
26,C0
28,C⁰0
30,d0
32,d⁰0
34,E0
36,F0
38,F⁰0
40,G0
42,G⁰0
44,A0
46,A⁰0
48,b0
50,C1
52,C⁰1
54,d1
56,d⁰1
58,E1
60,F1
62,F⁰1
64,G1
66,G⁰1
68,A1
70,A⁰1
72,b1
74,C2
76,C⁰2
78,d2
80,d⁰2
82,E2
84,F2
86,F⁰2
88,G2
90,G⁰2
92,A2
94,A⁰2
96,b2
98,C3
100,C⁰3
102,d3
104,d⁰3
106,E3
108,F3
110,F⁰3
112,G3
114,G⁰3
116,A3
118,A⁰3
120,b3
122,C4
124,C⁰4
126,d4
128,d⁰4
130,E4
132,F4
134,F⁰4
136,G4
138,G⁰4
140,A4
142,A⁰4
144,b4
146,C5
148,C⁰5
150,d5
152,d⁰5
154,E5
156,F5
158,F⁰5
160,G5
162,G⁰5
164,A5
166,A⁰5
168,b5
170,C6
172,C⁰6
174,d6
176,d⁰6
178,E6
180,F6
182,F⁰6
184,G6
186,G⁰6
188,A6
190,A⁰6
192,b6
194,C7
196,C⁰7
198,d7
200,d⁰7
202,E7
204,F7
206,F⁰7
208,G7
210,G⁰7
212,A7
214,A⁰7
216,b7
218,C8
220,C⁰8
222,d8
224,d⁰8
226,E8
228,F8
230,F⁰8
232,G8
234,G⁰8
236,A8
238,A⁰8
240,b8
242,C9
244,C⁰9
246,d9
248,d⁰9
250,E9
252,F9
255,F⁰9
